,IDs,log10_BF,CIR,GOU,Poi,NB
0,allen_C01_glu_Cox6b1,9.213975338145246,-8109.009399493832,-8118.223374831977,-8650.061533911598,-8116.387169153812
1,allen_C01_glu_Mdh1,12.167449075697732,-7806.225389224852,-7818.39283830055,-8201.277126527835,-7820.218707546784
2,allen_C01_glu_Slc24a3,-119.60687805132147,-8783.543586059252,-8663.93670800793,-16560.474823132605,-8781.329338188421
3,allen_C01_glu_Stmn3,40.565287967037875,-10014.136335103516,-10054.701623070554,-11264.306116385731,-10082.019702409361
4,allen_C01_glu_Gria2,17.047982173728087,-14283.679512440844,-14300.727494614572,-18895.02688996579,-14644.365300694817
5,allen_C01_glu_Slc35f1,-83.90306836232594,-11885.242710274637,-11801.339641912311,-18556.256142375772,-11900.800670497703
6,allen_C01_glu_Trhde,-156.94477276741782,-11317.961994341958,-11161.01722157454,-18120.612445767,-11319.609584068809
7,allen_C01_glu_Atxn1,-77.83166416042513,-14338.176640662152,-14260.344976501727,-20223.235872019795,-14534.321721390772
8,allen_B08_glu_Cox6b1,64.36349753382638,-8838.189713043357,-8902.553210577184,-11323.35649123935,-8896.91796798808
9,allen_B08_glu_Mdh1,66.3967471550277,-8879.468229271364,-8945.864976426392,-11078.404593939395,-8950.161055332845
10,allen_B08_glu_Slc24a3,-136.56520583166457,-9201.32684406735,-9064.761638235685,-21896.884676773247,-9251.740050991477
11,allen_B08_glu_Stmn3,182.61461581813273,-11052.771681719069,-11235.386297537201,-17530.9316291686,-11310.522875062597
12,allen_B08_glu_Gria2,14.694890919099635,-15031.519050173887,-15046.213941092987,-28560.969197566057,-15731.411946060347
13,allen_B08_glu_Slc35f1,-96.9978620309048,-12727.101770878924,-12630.10390884802,-26947.80865495869,-12819.976793441656
14,allen_B08_glu_Trhde,-90.28118302766052,-11097.702780851938,-11007.421597824277,-20467.063169139514,-11139.19420619732
15,allen_B08_glu_Atxn1,-107.32389588911246,-13550.559317322291,-13443.235421433179,-26167.47773880021,-13621.050750757888
