,IDs,log10_BF,CIR,GOU,Poi,NB
0,allen_H12_glu_Cox6b1,14.340252201856856,-5473.885574341071,-5488.225826542928,-6048.9972621825455,-5484.973818795926
1,allen_H12_glu_Mdh1,18.566813575343076,-5925.642961485591,-5944.209775060934,-6409.121561690305,-5942.045694187857
2,allen_H12_glu_Slc24a3,-63.534820282153305,-7005.41073029098,-6941.875910008826,-13955.806031635166,-7019.628075760786
3,allen_H12_glu_Stmn3,77.18406356842206,-7484.860019600675,-7562.044083169097,-9046.739571223916,-7577.918832924562
4,allen_H12_glu_Gria2,34.92256173680289,-10399.360846180785,-10434.283407917588,-14517.359005242366,-10703.429505351516
5,allen_H12_glu_Slc35f1,-43.00664188584415,-8621.424400669022,-8578.417758783178,-14993.818589172013,-8657.426285019837
6,allen_H12_glu_Trhde,-70.79682036191298,-7968.387651153703,-7897.59083079179,-12375.016107636035,-7965.117512399512
7,allen_H12_glu_Atxn1,-1.3539088694014936,-9752.505851422247,-9751.151942552846,-12937.750206907273,-9874.50931731248
8,allen_F08_glu_Cox6b1,43.77078245082521,-9952.58068031194,-9996.351462762765,-12220.892407052579,-9992.787545063202
9,allen_F08_glu_Mdh1,38.545410443168294,-9569.140584437904,-9607.685994881072,-11214.361810289509,-9606.788435736671
10,allen_F08_glu_Slc24a3,-181.53570509804558,-10513.973890513682,-10332.438185415636,-26656.37467151404,-10554.342412808528
11,allen_F08_glu_Stmn3,118.05374845518054,-11802.751393307617,-11920.805141762798,-16200.835872204083,-11965.63287059797
12,allen_F08_glu_Gria2,6.78959310238497,-16553.172116853428,-16559.961709955813,-28673.569451889256,-17266.50040579057
13,allen_F08_glu_Slc35f1,-123.31700071642263,-14247.978804784403,-14124.66180406798,-29483.632785440335,-14329.216120417508
14,allen_F08_glu_Trhde,-110.22629098432299,-12364.823589791356,-12254.597298807033,-22089.486589942,-12371.538648479815
15,allen_F08_glu_Atxn1,-104.90341707527296,-14661.501972748154,-14556.598555672881,-24956.74607591805,-14668.805504007642
