,IDs,log10_BF,CIR,GOU,Poi,NB
0,allen_C01_glu_Cox6b1,9.110247145878995,-8109.00939949383,-8118.11964663971,-8650.0615339116,-8116.387169153812
1,allen_C01_glu_Mdh1,11.269179138068338,-7806.225389224851,-7817.494568362919,-8201.277126527837,-7820.218707546783
2,allen_C01_glu_Slc24a3,-119.61462298334379,-8783.543586059252,-8663.928963075907,-16560.474823132605,-8781.329338188421
3,allen_C01_glu_Stmn3,36.50732412770881,-10014.136335103514,-10050.643659231224,-11264.30611638573,-10082.01970240936
4,allen_C01_glu_Gria2,16.735856600729196,-14283.679512440844,-14300.415369041573,-18895.026889965786,-14644.365300694817
5,allen_C01_glu_Slc35f1,-83.89772566436402,-11885.242710274635,-11801.344984610272,-18556.25614237577,-11900.800670497702
6,allen_C01_glu_Trhde,-156.9258270640406,-11317.961994341958,-11161.036167277918,-18120.612445766998,-11319.609584068807
7,allen_C01_glu_Atxn1,-77.82628494499616,-14338.17664066215,-14260.350355717153,-20223.235872019795,-14534.32172139077
8,allen_B08_glu_Cox6b1,64.24987981616708,-8838.189713043357,-8902.439592859524,-11323.356491239352,-8896.917967988078
9,allen_B08_glu_Mdh1,65.05473773786728,-8879.468229271364,-8944.52296700923,-11078.404593939395,-8950.161055332843
10,allen_B08_glu_Slc24a3,-136.58234176584722,-9201.326844067347,-9064.7445023015,-21896.88467677324,-9251.740050991477
11,allen_B08_glu_Stmn3,181.3056443290805,-11052.771681719069,-11234.07732604815,-17530.9316291686,-11310.522875062597
12,allen_B08_glu_Gria2,14.700190199416182,-15031.519050173883,-15046.2192403733,-28560.969197566053,-15731.411946060345
13,allen_B08_glu_Slc35f1,-96.99167201973889,-12727.101770878922,-12630.110098859182,-26947.808654958688,-12819.976793441656
14,allen_B08_glu_Trhde,-90.2775980609311,-11097.702780851938,-11007.425182791007,-20467.06316913951,-11139.194206197319
15,allen_B08_glu_Atxn1,-107.317933783077,-13550.55931732229,-13443.241383539213,-26167.477738800208,-13621.050750757888
16,allen_H12_glu_Cox6b1,14.308441500555723,-5473.885574341071,-5488.194015841626,-6048.997262182545,-5484.973818795925
17,allen_H12_glu_Mdh1,18.482397736061696,-5925.64296148559,-5944.125359221652,-6409.121561690304,-5942.045694187857
18,allen_H12_glu_Slc24a3,-63.54799892394123,-7005.41073029098,-6941.862731367039,-13955.806031635162,-7019.628075760786
19,allen_H12_glu_Stmn3,74.26289716592201,-7484.860019600674,-7559.122916766596,-9046.739571223914,-7577.918832924561
20,allen_H12_glu_Gria2,34.73143911265973,-10399.360846180783,-10434.092285293444,-14517.359005242366,-10703.429505351516
21,allen_H12_glu_Slc35f1,-43.000694386442,-8621.424400669022,-8578.42370628258,-14993.818589172013,-8657.426285019836
22,allen_H12_glu_Trhde,-70.78536327077055,-7968.387651153701,-7897.60228788293,-12375.016107636035,-7965.117512399512
23,allen_H12_glu_Atxn1,-1.3532568328558878,-9752.505851422247,-9751.152594589392,-12937.750206907269,-9874.509317312479
24,allen_F08_glu_Cox6b1,43.65669264665298,-9952.580680311938,-9996.23737295859,-12220.892407052579,-9992.7875450632
25,allen_F08_glu_Mdh1,38.00158162355754,-9569.140584437904,-9607.142166061461,-11214.361810289507,-9606.78843573667
26,allen_F08_glu_Slc24a3,-181.5652182640836,-10513.973890513678,-10332.408672249596,-26656.374671514037,-10554.342412808528
27,allen_F08_glu_Stmn3,116.21401946857563,-11802.751393307615,-11918.965412776191,-16200.835872204083,-11965.63287059797
28,allen_F08_glu_Gria2,6.719349238532946,-16553.172116853424,-16559.891466091958,-28673.569451889252,-17266.50040579057
29,allen_F08_glu_Slc35f1,-123.31126610192906,-14247.978804784403,-14124.667538682474,-29483.632785440335,-14329.216120417506
30,allen_F08_glu_Trhde,-110.22338483332426,-12364.823589791356,-12254.600204958033,-22089.486589941996,-12371.538648479815
31,allen_F08_glu_Atxn1,-104.90266649981501,-14661.501972748152,-14556.599306248338,-24956.74607591805,-14668.80550400764
