,IDs,log10_BF,CIR,GOU,Poi,NB
0,allen_C01_glu_App,-16281.94832049885,-30366.13051508906,-14084.182194590207,-18935.2937482306,-14495.157343788185
1,allen_C01_glu_Cyfip2,-15417.301579152949,-27453.47806633251,-12036.17648717956,-14182.029476431546,-12150.39270533781
2,allen_C01_glu_Gnaq,-14291.975231730792,-27103.07735057797,-12811.102118847177,-15104.483487907417,-13028.138320391225
3,allen_C01_glu_Grin2b,-14827.19936188998,-31185.091934637057,-16357.892572747078,-28277.91931340331,-16998.63863393086
4,allen_C01_glu_Gsk3b,-16904.1319497634,-30189.022245363267,-13284.890295599871,-16197.064470626663,-13549.987135691654
5,allen_C01_glu_Kifap3,-12660.193565382071,-22811.853505461153,-10151.659940079082,-10856.979162581398,-10205.080972353973
6,allen_C01_glu_Mycbp2,-13367.975981650321,-25424.937379726656,-12056.961398076335,-14222.067906289558,-12080.964449940955
7,allen_C01_glu_Prrc2c,-11250.22327631652,-20277.513556293354,-9027.290279976834,-9602.065870807834,-9048.173373645153
8,allen_C01_glu_Unc80,-11919.842524014979,-23407.374032364158,-11487.53150834918,-13265.995743926384,-11521.997520356981
9,allen_C01_glu_Adcy2,-12850.973552318288,-24444.875984862334,-11593.902432544046,-20058.200041535234,-11646.821143070034
10,allen_C01_glu_Atxn1,-15563.84425274601,-29825.344170478522,-14261.499917732512,-20223.235872019795,-14534.315308445317
